kode_usul,kodeCabang,nama_usul,initial,tipe,jumlah_kemunculan,keyakinan,alasan
ULS-PDA,058,ULS-PDA,PDA,CABANG,3,TINGGI,Satu-satunya TIPE di histori bersih (3x kemunculan)
,021,,PDC,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,082,,PDG,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,012,,PDI,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,029,,PER,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,052,,PLG,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,047,,PLK,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,057,,PMS,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,071,,PNK,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,036,,PPI,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,017,,PSM,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,070,,PSR,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,069,,SBU,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
ULS-SCI,083,ULS-SCI,SCI,CABANG,3,TINGGI,Satu-satunya TIPE di histori bersih (3x kemunculan)
,016,,SDA,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,075,,SDP,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
,055,,SDY,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
KCP-SGK,078,KCP-SGK,SGK,CABANG,11,TINGGI,Satu-satunya TIPE di histori bersih (11x kemunculan)
,060,,SGN,CABANG,0,RENDAH,"Tidak ada histori TIPE-INITIAL bersih untuk initial ini — TIPE (KC/KCP/ULS) belum diketahui, tunggu kode_cabang.xlsx"
